target_name,normalized_target,count,example_tradeItemIds
Alicia,alicia,0,
Amazing Magic,amazing magic,2,bd7fa4cb-b137-4f9f-a22c-2b00c33690f7;65b4363f-4bed-4cdd-81ef-a363c8e2f910
Ariya,ariya,1,dd32aa16-1746-401c-9128-d60c0bfb206b
Azore,azore,3,b4a969ce-7fb4-488e-aa48-53f6f10ee07c;ad6cec92-e98c-4686-ad42-61be20ebc281;d7832d2c-6980-45de-910c-a621bd9d1ded
Bandolero,bandolero,3,cd0ed6b9-0d73-4121-bdc1-eeaae48dde82;6dd2eb1c-a4ac-443d-b03c-c6cc1630925b;7d3415c7-0611-4a22-bc67-f463f1312006
Barbados,barbados,1,635f4186-f609-4b0b-bbae-2cefb1e30519
Bellalinda Bricks,bellalinda bricks,0,
Bellalinda Cerise,bellalinda cerise,2,32590c1b-06c1-408a-9b35-ea1ddf8e7df9;d555d209-2001-4ffa-a3c8-a6b58197f96d
Bellalinda Mostaza,bellalinda mostaza,0,
Bombastic,bombastic,0,
Cherry Blossom,cherry blossom,0,
Cheyenne,cheyenne,2,138aefff-35f5-43c5-9963-88b1b37a8910;e9d5ded1-a3b7-4707-b367-cae76d6915d2
Classic Sensation,classic sensation,3,3863f3a3-8039-49a3-8942-cad9f4d9eac4;d49a3ab3-8fad-4de9-a43b-dafc9f75bfb5;060883f5-c1fd-4c66-a086-b7d1591a23db
Dima Bombastic,dima bombastic,0,
Dinara,dinara,3,36883715-8b4b-449a-974d-f2e6b8222888;92d82e14-5eda-499d-8468-3f16b45c9314;99e28bd7-1cd5-4d84-a2b1-60efaa4c91e5
Dominica,dominica,0,
Eye Liner,eye liner,0,
Eyeliner,eyeliner,3,074263e9-a251-4abb-96c6-454aed4902d7;a0fa64ec-2523-4b0e-b9a8-4acc4ef24a9e;9347ba34-c0bd-42ee-82e3-9dcf3118c024
Fair Flow,fair flow,1,dd426891-c6d4-4eba-8950-3837c12829d7
Femke,femke,1,061fccf3-1dbe-4bc6-98f0-5f31c3205ad7
Fire Flash,fire flash,0,
