tradeItemId,tradeItemName
7a171946-6af2-42df-92e8-1ca13fde2c3d,Sofie 70
1c5237d0-dfe7-46b6-bd19-56b1a0fbbcae,Silver Shadow - Length 70
8fdfce28-8105-4374-a1f0-4cdaf869af8f,Rosa Fuchsiana 40cm
78dede5c-d89e-4c12-84d5-c4fd9fbb0988,Fairflow 60
2e15c036-558f-4d19-8586-4598ac26ab36,China White
8fe04c82-1b55-49e0-825b-81dc98b9e680,Rosa Large Flowered Candidate 70cm
43dc65b9-5811-41f4-aa40-eb569530a19c,Rosa spray Snowflake 50cm
082ad35d-b9d6-4292-b798-604fd5982ef8,Rosa spray Babe
a604f827-773f-490d-ae32-0b3a5608f047,Alstroemeria Villa Massa 60cm
31d6af16-4950-44cc-9cf0-df64cb749dc8,Rosa Copacabana 50cm
cd0ed6b9-0d73-4121-bdc1-eeaae48dde82,Bandolero 50
23a49e3c-88d1-475d-8490-310fcb6c39b6,Rosa spray Summerrose
577c1314-ed7d-4de0-9f92-15f90858b944,Reflex 60
d9d3c28b-5d66-427c-b486-a77ae84496d3,Rosa High & Magic 40cm
993214c8-03dc-4890-975b-bca699487d93,Alstroemeria Gold 60cm
ed9a583d-1bdd-4e52-ac07-3521fe248262,Rosa Tropical Amazon 40cm
e174e8ce-a475-46b5-8bdd-7a955905397d,Rosa High & Magic 60cm
2fc05ffb-ee4d-4edc-9321-b0f6d4dd05f5,Rosa large flowered Thriller 50cm
41872005-9496-433a-9cc2-9bd484dae9d6,Nikita 50
1f157878-efe3-43ed-a57b-c6b0e58e0603,Leather Fern 70cm
34d5add4-a35f-43be-942c-8e72c0b21852,Rosa large flowered Ever Red 40cm
33fb393e-48af-4fee-9a5a-49cf849a82e8,Rosa Tapdance 60cm
0c63be90-77f7-4114-925a-f7a01f0597fb,Lepidium Green Dragon L70
b97cf7ca-9efd-4f6f-97d8-88725d18ed59,Good Mood 60cm
0fd16650-4b6d-47e7-b36f-b1083c0620e7,Ice Flow - Length 70
08a02beb-dd63-4427-9c96-2c175161c86d,Alstroemeria Aviana 70cm
c439a942-3e74-4b16-b9db-57f82f26ea21,Rosa large flowered Tycoon 60cm
adfd435d-23c9-49c3-a6e5-9da829b60f2d,Rosa Pink Ice 40cm
398ab99e-a030-4cc9-b462-db9260e27174,Miss Bombastic 60
1abaa749-221c-4966-ba85-cd423d6446d4,Rosa large flowered Pink Rhodos 60cm
36883715-8b4b-449a-974d-f2e6b8222888,Dinara - Length 70
c7c3595d-ade9-4e15-a7c4-256fcf3c5898,Rosa large flowered Brooke 70cm
272e5a8f-95c0-4158-8f9e-733dda988733,Rosa Madam Red 40cm
6c9cd877-04c1-42be-ac84-ea2b9a416c26,Alstroemeria Aviana 60cm
ec264ebd-21a9-4ffa-b103-0b40087a67ab,Rosa Tropical Amazon 50cm
40d370f1-6c24-4c79-bbe1-10fbc83cc53d,Rosa large flowered Explorer 50cm
d2910afe-9bce-47bc-ac8a-aa280ef88235,Rosa large flowered Explorer 60cm
